gene,base_mean,log2fc,pvalue
G4018,5.85,0.92,0.297
G4019,2759.78,-0.216,0.388
G4020,25.81,-0.275,0.607
G4021,11.79,0.936,0.172
G4022,34.24,-0.152,0.758
G4023,6.72,-0.307,0.714
G4024,208.06,-0.058,0.861
G4025,17.41,-1.816,0.00262
G4026,86.84,-0.313,0.424
G4027,34.92,-0.978,0.0463
G4028,412.01,0.02,0.947
G4029,9.43,-0.097,0.896
G4030,109.58,-0.272,0.466
G4031,2046.61,0.031,0.903
G4032,151.28,0.057,0.871
G4033,380.27,-0.04,0.895
G4034,271.22,-0.088,0.781
G4035,110.03,0.582,0.118
G4036,117.66,-0.325,0.377
G4037,27.13,0.128,0.808
G4038,1.7,-0.53,0.714
G4039,9.67,-1.088,0.139
G4040,218.74,-0.128,0.697
G4041,97.25,0.458,0.231
G4042,248.64,-1.193,0.000206
G4043,1.39,-1.977,0.21
G4044,46.99,-1.429,0.00162
G4045,126.72,-0.291,0.422
G4046,34.07,-0.434,0.38
G4047,24.69,1.305,0.0161
G4048,31.65,0.503,0.319
G4049,12.11,0.236,0.728
G4050,10.64,-0.278,0.696
G4051,16.22,0.027,0.965
G4052,27.4,-0.499,0.342
G4053,60.72,-0.435,0.306
G4054,11.88,-0.168,0.806
G4055,35.79,0.117,0.81
G4056,188.87,0.148,0.66
G4057,1.95,-0.54,0.693
G4058,26.11,-0.388,0.467
G4059,23.57,0.055,0.92
G4060,58.69,0.53,0.217
G4061,334.02,-0.386,0.209
G4062,408.39,-0.104,0.728
G4063,42.63,1.318,0.0046
G4064,16.1,0.686,0.268
G4065,58.69,0.064,0.881
G4066,228.29,0.082,0.801
G4067,4.47,-0.893,0.361
G4068,13.17,0.823,0.213
G4069,11.56,0.351,0.611
G4070,64.03,-1.161,0.0057
G4071,1.57,1.096,0.464
G4072,19.34,0.113,0.847
G4073,31.97,0.287,0.568
G4074,12.98,0.476,0.474
G4075,113.37,0.235,0.526
G4076,110.93,-0.137,0.713
G4077,401.01,-0.299,0.319
G4078,20.39,0.589,0.305
G4079,603.78,0.192,0.501
G4080,91.7,0.5,0.196
G4081,7.72,-0.366,0.646
G4082,80.72,-0.164,0.68
G4083,120.46,-0.5,0.172
G4084,76.46,0.754,0.0613
G4085,90.85,0.098,0.801
G4086,546.56,0.215,0.456
G4087,399.14,-0.158,0.599
G4088,157.57,-0.192,0.581
G4089,34.29,0.422,0.392
G4090,72.84,0.559,0.17
G4091,68.98,0.095,0.818
G4092,66.4,0.144,0.729
G4093,1376.23,0.167,0.526
G4094,21.05,0.016,0.978
G4095,10.68,1.812,0.0107
G4096,18.62,0.4,0.498
G4097,718.84,0.362,0.196
G4098,2854.59,-0.054,0.829
G4099,31.25,0.407,0.421
G4100,23.38,-0.216,0.695
G4101,206.34,-0.392,0.237
G4102,10.19,0.822,0.254
G4103,13.53,0.168,0.798
G4104,53.7,0.318,0.468
G4105,175.68,-0.209,0.54
G4106,3.92,-0.847,0.41
G4107,101.12,-0.004,0.992
G4108,13.31,0.156,0.813
G4109,1.87,-1.621,0.244
G4110,16.8,-0.57,0.35
G4111,9.72,-0.826,0.26
G4112,36,0.106,0.828
G4113,52.71,-0.038,0.931
G4114,5.67,0.064,0.943
G4115,223.52,-0.291,0.374
G4116,2.1,-0.002,0.999
G4117,20.54,0.101,0.86
G4118,46.88,2.73,1.77e-09
G4119,2222.88,-0.006,0.981
G4120,6.05,-0.119,0.891
G4121,41.28,-0.099,0.833
G4122,158.73,0.163,0.639
G4123,110.42,0.089,0.811
G4124,2.56,-0.42,0.731
G4125,123.49,0.183,0.615
G4126,26.03,-0.756,0.157
G4127,75.09,0.473,0.242
G4128,195.09,-0.378,0.259
G4129,29.22,0.019,0.971
G4130,528.79,0.603,0.0373
G4131,38.81,0.704,0.14
G4132,78.58,-0.071,0.859
G4133,3.94,-0.711,0.488
G4134,66.71,0.412,0.322
G4135,42.26,-0.228,0.625
G4136,459.74,0.039,0.895
G4137,1225.99,-0.31,0.243
G4138,952.69,0.16,0.556
G4139,369.02,-1.93,1.97e-10
G4140,50.69,-0.698,0.117
G4141,49.09,-0.155,0.73
G4142,1155.85,-0.161,0.547
G4143,2.6,0.099,0.935
G4144,38.67,-1.769,0.00021
G4145,79.69,-0.17,0.67
G4146,2.41,0.877,0.483
G4147,49.07,-0.14,0.755
G4148,970.49,-0.446,0.1
G4149,57.36,0.801,0.0633
G4150,59.89,0.526,0.218
G4151,621.73,0.036,0.899
G4152,7.49,0.249,0.757
G4153,10.93,0.284,0.687
G4154,82.55,-0.026,0.948
G4155,26.55,0.26,0.624
G4156,16.51,-0.311,0.612
G4157,63.02,-0.91,0.0309
G4158,525.98,-0.035,0.904
G4159,34.87,0.249,0.612
G4160,134.06,-0.03,0.933
G4161,109.86,-0.104,0.78
G4162,1195.1,-0.686,0.00999
G4163,8.63,0.32,0.676
G4164,19.31,-0.659,0.259
G4165,42.23,0.623,0.181
G4166,17.5,0.708,0.24
G4167,115.24,-0.382,0.301
G4168,34.22,0.48,0.331
G4169,17.24,0.141,0.816
G4170,25.1,-0.753,0.163
G4171,4.34,-1.622,0.101
G4172,65.74,0.149,0.721
G4173,112.55,-0.43,0.246
G4174,26.79,-0.128,0.809
G4175,497.92,0.359,0.218
G4176,247.91,-1.663,2.33e-07
G4177,178.72,-0.054,0.874
G4178,613.35,-0.212,0.456
G4179,276.89,0.2,0.527
G4180,244.81,-0.575,0.0744
G4181,138.14,0.337,0.344
G4182,37.12,-0.281,0.56
G4183,316.32,0.206,0.506
G4184,2.45,0.738,0.552
G4185,57.4,-0.101,0.815
G4186,68.83,0.158,0.702
G4187,109.98,-0.402,0.281
G4188,173.03,0.337,0.324
G4189,2089.64,0.034,0.894
G4190,128.79,-0.043,0.905
G4191,8.59,1.182,0.123
G4192,23.26,0.405,0.463
G4193,21,-0.23,0.686
G4194,3.05,0.2,0.86
G4195,141.53,-0.123,0.729
G4196,213.54,0.343,0.298
G4197,16.91,-0.114,0.852
G4198,5,-3.041,0.00115
G4199,452.8,-0.209,0.479
G4200,196.86,0.329,0.325
G4201,147.32,0.174,0.621
G4202,28.33,-1.049,0.0439
G4203,8.54,-0.659,0.391
G4204,314.46,-0.385,0.215
G4205,21.97,0.159,0.777
G4206,134.84,0.38,0.288
G4207,58.53,-0.061,0.887
G4208,144.31,0.071,0.841
G4209,9.4,-0.545,0.463
G4210,1.78,2.616,0.0653
G4211,47.63,0.301,0.505
G4212,160.81,-0.202,0.56
G4213,13.71,-0.975,0.135
G4214,187.37,-0.063,0.852
G4215,203.13,-0.278,0.403
G4216,40.96,-0.513,0.275
G4217,61.94,-1.689,6.6e-05
G4218,31.03,0.357,0.482
G4219,32.32,0.279,0.578
G4220,23.84,-0.725,0.186
G4221,2541.46,0.233,0.355
G4222,911.9,0.053,0.846
G4223,219.72,0.097,0.767
G4224,44.46,1.094,0.0174
G4225,358.87,-0.434,0.154
G4226,2.95,1.685,0.143
G4227,510.42,0.277,0.341
G4228,588.77,-1.282,7.34e-06
G4229,279.05,0.117,0.711
G4230,312.39,0.201,0.517
G4231,43.61,-0.486,0.293
G4232,29.07,-0.244,0.637
G4233,38.21,0.538,0.261
G4234,662.49,0.096,0.734
G4235,5.34,2.113,0.0206
G4236,332.39,0.343,0.265
G4237,33.32,0.228,0.647
G4238,146.05,-0.381,0.28
G4239,28.01,0.217,0.678
G4240,507.68,0.704,0.0156
G4241,31.92,0.289,0.566
G4242,76.42,0.098,0.808
G4243,474.25,0.14,0.633
G4244,68.88,-0.493,0.232
G4245,112.62,-0.198,0.593
G4246,61.13,-0.049,0.908
G4247,60.33,-0.057,0.894
G4248,63.83,0.071,0.866
G4249,429.94,-0.196,0.51
G4250,55.21,0.038,0.93
G4251,0.84,0.82,0.677
G4252,28.3,-0.421,0.419
G4253,61.85,-0.226,0.594
G4254,251.74,0.252,0.432
G4255,384.01,0.38,0.208
G4256,101.75,0.849,0.0249
G4257,29.51,0.753,0.143
G4258,117.09,0.437,0.235
G4259,154.34,0.166,0.634
G4260,12.31,0.265,0.695
G4261,49.05,-0.074,0.869
G4262,147.02,0.171,0.627
G4263,63.15,-0.092,0.827
G4264,21.39,-0.251,0.657
G4265,99.12,-0.263,0.49
G4266,190.7,-0.336,0.317
G4267,86.54,0.274,0.485
G4268,172.28,-0.148,0.665
G4269,45.17,0.12,0.793
G4270,554.98,-0.332,0.249
G4271,120.93,-0.264,0.47
G4272,106.9,0.301,0.422
G4273,32.98,0.086,0.863
G4274,7.61,-0.826,0.302
G4275,35.92,-0.566,0.245
G4276,5.91,1.63,0.0634
G4277,66.81,0.044,0.916
G4278,65.05,-0.136,0.745
G4279,76.88,-0.433,0.282
G4280,12.21,0.641,0.344
G4281,4.46,0.762,0.436
G4282,30.3,-0.486,0.341
G4283,34.61,0.288,0.558
G4284,33.92,2.718,3.93e-08
G4285,13.36,0.416,0.527
G4286,75.5,-0.496,0.22
G4287,9.69,-0.406,0.58
G4288,73.34,-0.4,0.326
G4289,123.74,-0.046,0.899
G4290,16.61,0.016,0.979
G4291,39.54,0.705,0.137
G4292,308.61,-0.237,0.446
G4293,24.32,0.657,0.228
G4294,81.47,-0.174,0.661
G4295,1805.85,0.111,0.667
G4296,42.44,-0.431,0.355
G4297,54.22,0.053,0.904
G4298,32.81,0.121,0.809
G4299,86.54,0.252,0.52
G4300,22.74,-0.548,0.324
G4301,35.46,-0.275,0.574
G4302,78.54,-0.265,0.508
G4303,152.04,-0.018,0.959
G4304,27.24,-0.478,0.364
G4305,7.72,-0.366,0.646
G4306,60.67,-0.675,0.113
G4307,23.22,0.167,0.762
G4308,216.51,0.424,0.197
G4309,185.64,0.391,0.247
G4310,89.32,0.221,0.57
G4311,52.31,0.181,0.682
G4312,863.03,0.01,0.971
G4313,182.5,0.052,0.878
G4314,28.6,0.344,0.508
G4315,161.08,0.396,0.253
G4316,89,0.008,0.984
G4317,797.42,-0.027,0.922
G4318,15.29,-1.524,0.0154
G4319,316.72,0.02,0.949
G4320,8.52,-0.734,0.339
G4321,18.72,1.098,0.0627
G4322,73.45,0.111,0.785
G4323,432.63,-0.29,0.329
G4324,122.89,-0.64,0.079
G4325,24.99,1.151,0.0331
G4326,51.68,0.626,0.157
G4327,78.47,-0.344,0.391
G4328,3.57,-1.675,0.116
G4329,10.59,-0.268,0.706
G4330,14.89,0.592,0.351
G4331,5.27,0.718,0.434
G4332,98.82,-0.045,0.906
G4333,69.74,-0.58,0.159
G4334,110.19,-0.054,0.885
G4335,80.72,0.02,0.96
G4336,17.59,0.045,0.94
G4337,15.54,0.019,0.976
G4338,26.57,0.54,0.309
G4339,21.81,0.503,0.371
G4340,28.26,0.514,0.324
G4341,33.21,-0.051,0.918
G4342,85.05,-0.541,0.169
G4343,1266.94,-0.225,0.396
G4344,4.92,-0.399,0.672
G4345,302.35,0.026,0.934
G4346,2868.27,0.246,0.325
G4347,13.9,-0.993,0.126
G4348,47.5,-0.172,0.704
G4349,255.19,0.007,0.983
G4350,8.32,-1.223,0.114
G4351,21.01,0.693,0.223
G4352,17.39,0.055,0.927
G4353,13.59,-0.042,0.949
G4354,12.6,-1.41,0.0355
G4355,73.69,-0.108,0.79
G4356,238.1,-0.653,0.0437
G4357,456.87,-0.075,0.799
G4358,964.41,-0.026,0.924
G4359,12.72,-1.089,0.103
G4360,1001.92,0.412,0.128
G4361,408.57,0.086,0.774
G4362,26.66,0.981,0.0641
G4363,13.52,0.595,0.364
G4364,43.61,-0.309,0.504
G4365,1.87,-2.729,0.0496
G4366,172.93,-0.166,0.627
G4367,30.41,0.141,0.782
G4368,4.63,3.66,0.000146
G4369,12.23,0.014,0.984
G4370,302.43,0.653,0.0364
G4371,9.64,0.936,0.203
G4372,128.98,0.414,0.251
G4373,132.05,0.289,0.421
G4374,236.46,-0.378,0.243
G4375,5.24,-0.209,0.82
G4376,4.53,-0.642,0.509
G4377,72.87,0.114,0.78
G4378,85.18,-0.493,0.21
G4379,1.34,0.002,0.999
G4380,37.21,0.223,0.644
G4381,14.58,0.297,0.642
G4382,256.93,0.176,0.582
G4383,550.05,-0.145,0.615
G4384,20.45,0.643,0.262
G4385,56.19,0.591,0.173
G4386,25.3,-0.199,0.712
G4387,271,-0.046,0.885
G4388,9.18,0.26,0.728
G4389,7.65,1.376,0.0848
G4390,152.12,0.601,0.0857
G4391,5.2,-1.342,0.145
G4392,172.95,0.014,0.967
G4393,181.64,0.24,0.479
G4394,37.56,0.249,0.605
G4395,7.11,-0.771,0.347
G4396,18.65,0.046,0.938
G4397,1198.44,0.356,0.181
G4398,888.41,0.072,0.792
G4399,159.85,0.352,0.31
G4400,34.54,-0.593,0.228
G4401,905.6,0.27,0.323
G4402,421.07,0.401,0.178
G4403,431.61,-0.128,0.667
G4404,651.66,0.42,0.137
G4405,195.04,0.567,0.0901
G4406,19.61,-1.855,0.00142
G4407,32.98,-1.451,0.00361
G4408,9.49,-0.821,0.267
G4409,11.34,0.851,0.221
G4410,42.08,-0.426,0.361
G4411,38.26,-0.613,0.2
G4412,832.05,-0.139,0.614
G4413,35.38,-0.18,0.713
G4414,3245.96,0.241,0.331
G4415,15.37,-0.009,0.989
G4416,46.16,-0.739,0.105
G4417,42.34,0.103,0.825
G4418,13.72,-0.467,0.474
G4419,160.78,-0.37,0.285
G4420,5.86,-0.956,0.278
G4421,116.97,1.224,0.000879
G4422,476.53,-0.185,0.528
G4423,857.95,-0.078,0.776
G4424,426.5,0.413,0.165
G4425,133.88,0.107,0.765
G4426,23.51,0.444,0.419
G4427,14.21,0.011,0.986
G4428,309.19,-1.062,0.000638
G4429,0.3,2.358,0.342
G4430,23.66,-0.783,0.154
G4431,67.13,-0.138,0.74
G4432,50.3,-0.335,0.452
G4433,19.59,-0.347,0.551
G4434,183.98,0.586,0.0829
G4435,8.89,-0.233,0.758
G4436,221.89,0.13,0.691
G4437,133.51,-0.063,0.86
G4438,426.2,0.066,0.824
G4439,91.02,0.281,0.469
G4440,40.63,0.068,0.885
G4441,10.39,0.509,0.477
G4442,235.3,-0.178,0.583
G4443,4.2,-0.694,0.488
G4444,5.65,-0.434,0.627
G4445,63.87,-0.223,0.596
G4446,17.43,1.307,0.0303
G4447,29.08,0.367,0.478
G4448,867.97,0.463,0.0914
G4449,97.18,-0.208,0.586
G4450,0.46,-3.175,0.201
G4451,160.58,-0.396,0.253
G4452,161.41,-0.299,0.387
G4453,16.8,-0.71,0.245
G4454,17.37,0.003,0.996
G4455,164.35,-0.008,0.981
G4456,17.87,-0.46,0.442
G4457,358.55,0.038,0.901
G4458,16.88,-0.336,0.581
G4459,264.01,-0.385,0.227
G4460,7.17,0.174,0.831
G4461,13.26,0.847,0.199
G4462,11.52,0.477,0.49
G4463,32.57,0.68,0.174
G4464,365.46,0.024,0.937
G4465,30.33,0.13,0.799
G4466,3227.3,0.085,0.732
G4467,28.01,-1.173,0.0247
G4468,195.06,-0.045,0.893
G4469,33.35,-0.092,0.853
G4470,72.23,-0.47,0.25
G4471,37.86,0.242,0.614
G4472,17.79,0.262,0.662
G4473,2.22,-0.818,0.527
G4474,35.06,0.62,0.206
G4475,27.92,-0.243,0.642
G4476,14.76,0.349,0.583
G4477,131.15,-0.064,0.859
G4478,38.04,-0.445,0.353
G4479,106.09,-0.035,0.926
G4480,108.04,0.387,0.301
G4481,53.83,1.083,0.0134
G4482,9.06,-1.705,0.0233
G4483,3.86,-0.23,0.824
G4484,6.34,0.858,0.316
G4485,7.74,1.546,0.0518
G4486,20.81,0.468,0.412
G4487,202.2,-0.204,0.54
G4488,706.21,0.201,0.473
G4489,314.19,0.163,0.599
G4490,17.23,-0.419,0.489
G4491,46.59,0.11,0.809
G4492,85.63,-0.489,0.213
G4493,24.17,0.537,0.325
G4494,31.04,-0.215,0.672
G4495,86,0.374,0.341
G4496,185.2,-0.382,0.258
G4497,11.44,-1.363,0.0492
G4498,271.02,-0.687,0.0303
G4499,11.54,0.459,0.507
G4500,3.6,-1.217,0.252
G4501,53.23,2.372,6.68e-08
G4502,11.26,-0.342,0.624
G4503,94.62,0.273,0.478
G4504,51,0.095,0.831
G4505,596.63,-0.294,0.303
G4506,34.48,0.244,0.62
G4507,250.87,0.387,0.228
G4508,125.54,0.248,0.494
G4509,257.79,0.2,0.532
G4510,44.03,0.004,0.993
G4511,521.69,0.464,0.11
G4512,107.79,0.118,0.752
G4513,137.28,0.151,0.672
G4514,97.71,0.793,0.0378
G4515,0.2,2.551,0.304
G4516,73.79,-0.291,0.474
G4517,3.87,0.694,0.502
G4518,25.01,0.523,0.333
G4519,32.99,0.123,0.805
G4520,43.07,0.3,0.518
G4521,37.17,1.082,0.0249
G4522,9.88,0.269,0.712
G4523,40.37,-0.341,0.47
G4524,899.48,-0.268,0.327
G4525,2985.3,0.169,0.498
G4526,40.58,-0.088,0.852
G4527,28.56,-0.148,0.776
G4528,18.84,1.438,0.0146
G4529,21.38,-0.344,0.543
G4530,35.31,-0.483,0.324
G4531,86.61,-0.631,0.107
G4532,3.05,0.645,0.57
G4533,5.51,-0.18,0.842
G4534,99.91,-0.023,0.952
G4535,378.31,-0.117,0.699
G4536,15.64,0.008,0.99
G4537,20.84,-0.128,0.822
G4538,113.3,0.389,0.294
G4539,26.16,-0.433,0.416
G4540,47.3,1.128,0.0127
G4541,53.92,0.29,0.508
G4542,112.95,-0.381,0.304
G4543,110.96,0.456,0.22
G4544,30.72,0.998,0.0498
G4545,412.76,-0.291,0.33
G4546,44.63,-3.281,1e-12
G4547,86.2,-0.089,0.821
G4548,78.38,0.199,0.619
G4549,694.17,-0.118,0.674
G4550,135.47,0.279,0.435
G4551,18.97,-0.023,0.969
G4552,36.47,0.993,0.0406
G4553,174.59,0.063,0.853
G4554,35.6,-0.539,0.27
G4555,18.23,1.116,0.0606
G4556,29.42,0.15,0.771
G4557,55.76,-0.074,0.865
G4558,213.54,-0.589,0.0738
G4559,55.72,0.284,0.513
G4560,86.23,-0.289,0.461
G4561,91.39,0.141,0.716
G4562,20.78,0.525,0.358
G4563,3.12,-0.396,0.725
G4564,1265.48,0.198,0.455
G4565,29.35,0.092,0.858
G4566,65.21,-0.865,0.0386
G4567,231.9,-0.167,0.607
G4568,145.07,0.378,0.284
G4569,10.85,0.728,0.302
G4570,56.85,0.66,0.127
G4571,401.23,0.512,0.0878
G4572,24.85,0.097,0.858
G4573,16.15,0.487,0.431
G4574,188.78,-0.053,0.875
G4575,866.42,0.109,0.691
G4576,5.28,-1.21,0.187
G4577,11.56,0.15,0.828
G4578,34.14,0.451,0.361
G4579,20.63,-0.674,0.239
G4580,17.49,1.053,0.0806
G4581,1770.91,0.068,0.792
G4582,912.35,1.814,3.02e-11
G4583,39.53,-0.039,0.934
G4584,11.28,-2.041,0.00338
G4585,10019.44,0.162,0.492
G4586,111.97,0.357,0.336
G4587,22.12,-0.074,0.895
G4588,5.84,-0.956,0.278
G4589,542.32,0.382,0.186
G4590,13.45,-1.402,0.0327
G4591,204.15,0.115,0.729
G4592,14.36,0.554,0.388
G4593,36.47,-0.873,0.0718
G4594,14.12,-0.739,0.252
G4595,37.34,0.281,0.56
G4596,50.11,0.162,0.716
G4597,6.68,0.463,0.581
G4598,50.58,-0.427,0.337
G4599,283.19,-0.197,0.532
G4600,360.39,-0.003,0.992
G4601,76.88,0.002,0.996
G4602,239.38,0.159,0.623
G4603,167.82,-0.126,0.714
G4604,74.48,-0.642,0.113
G4605,28.53,0.807,0.12
G4606,248.05,-0.087,0.787
G4607,1204.91,-0.539,0.0428
G4608,39.7,-0.61,0.198
G4609,200.69,0.058,0.862
G4610,31.2,0.634,0.211
G4611,108.62,-0.407,0.276
G4612,634.1,0.2,0.481
G4613,224.38,-0.176,0.59
G4614,81.43,-0.305,0.443
G4615,23.06,-0.186,0.737
G4616,339.24,0.015,0.961
G4617,87.7,0.043,0.912
G4618,71.31,-0.5,0.222
G4619,55.03,-0.745,0.0873
G4620,6.43,0.251,0.768
G4621,709.13,0.604,0.031
G4622,2.27,-0.671,0.601
G4623,2.32,0.633,0.618
G4624,511.39,0.134,0.645
G4625,123.21,0.114,0.754
G4626,124.76,-0.329,0.365
G4627,130.59,-0.318,0.377
G4628,20.53,-0.036,0.95
G4629,17.85,0.609,0.309
G4630,1223.64,0.174,0.513
G4631,43.45,-0.006,0.99
G4632,68.44,-0.016,0.969
G4633,86.18,0.823,0.0359
G4634,151.18,-0.157,0.654
G4635,65.99,0.015,0.971
G4636,261.2,0.117,0.714
G4637,14.67,0.203,0.75
G4638,34.46,-1.632,0.000922
G4639,74.94,0.786,0.0522
G4640,71.16,-0.633,0.122
G4641,112.35,-0.468,0.207
G4642,480.58,-2.006,7.55e-12
G4643,3275.46,0.467,0.0596
G4644,10.33,0.006,0.993
G4645,100.57,-0.509,0.18
G4646,9.21,1.213,0.105
G4647,426.01,0.38,0.202
G4648,28.04,-0.022,0.966
G4649,265.81,0.65,0.041
G4650,89.55,-0.955,0.0141
G4651,143.71,0.194,0.583
G4652,59.41,-0.315,0.461
G4653,30.41,-0.314,0.538
G4654,62.58,-0.324,0.443
G4655,17.21,-0.264,0.663
G4656,5.27,0.313,0.733
G4657,38.66,0.527,0.27
G4658,94.34,0.759,0.0485
G4659,109.12,-0.369,0.323
G4660,17.82,0.54,0.367
G4661,1.16,0.935,0.584
G4662,41.41,-0.013,0.978
G4663,117.31,-0.251,0.495
G4664,161.05,-0.331,0.339
G4665,120.86,-0.121,0.741
G4666,37.94,-0.328,0.494
G4667,19.22,0.608,0.299
G4668,228.53,-0.436,0.181
G4669,1961.95,0.191,0.456
G4670,78.48,0.562,0.161
G4671,43.73,0.429,0.353
G4672,48.39,0.214,0.634
G4673,54.4,-0.152,0.728
G4674,18.9,-0.172,0.77
G4675,88.99,-0.502,0.198
G4676,98.83,-0.607,0.111
G4677,292.32,0.886,0.00472
G4678,142,0.449,0.205
G4679,16.39,-0.167,0.786
G4680,0.38,0.936,0.706
G4681,106.64,-0.22,0.557
G4682,682.11,-0.267,0.342
G4683,17.88,-0.289,0.629
G4684,1.74,-0.858,0.549
G4685,14.03,1.736,0.00731
G4686,19.64,0.283,0.626
G4687,46.47,0.191,0.674
G4688,9.52,0.871,0.238
G4689,36.76,0.464,0.338
G4690,970.58,0.353,0.193
G4691,5.87,-0.39,0.658
G4692,17.06,-0.136,0.823
G4693,47.78,-0.306,0.498
G4694,22.47,0.092,0.869
G4695,39.94,-0.168,0.723
G4696,101.27,0.011,0.977
G4697,55.36,-0.006,0.989
G4698,22.25,-1.677,0.00271
G4699,294.52,-1.077,0.000585
G4700,35.16,-1.822,2e-04
G4701,255.75,0.321,0.316
G4702,65.71,-0.511,0.221
G4703,37.52,-0.249,0.605
G4704,69.53,-0.259,0.529
G4705,545.02,-0.185,0.521
G4706,27.41,-0.318,0.545
G4707,663.07,-0.431,0.127
G4708,11.63,1.217,0.0774
G4709,13.1,-0.06,0.928
G4710,116.07,-0.052,0.888
G4711,7.64,0.517,0.518
G4712,87.22,-0.432,0.27
G4713,996.5,0.298,0.271
G4714,41051.29,-0.285,0.211
G4715,232.07,-0.368,0.258
G4716,19.63,0.683,0.24
G4717,67.32,-0.676,0.103
G4718,11.89,0.216,0.752
G4719,12.66,0.301,0.653
G4720,899.44,0.112,0.682
G4721,86.44,-0.151,0.7
G4722,6.92,-0.208,0.802
G4723,13.09,0.469,0.479
G4724,169.75,-0.147,0.668
G4725,46.46,0.281,0.537
G4726,137.67,-0.176,0.621
G4727,11.61,-0.315,0.648
G4728,121.1,0.316,0.387
G4729,7.44,1.07,0.185
G4730,152.64,-0.647,0.0641
G4731,22.06,-1.081,0.0538
G4732,137.64,-0.317,0.374
G4733,136.76,0.584,0.102
G4734,10.42,-0.164,0.819
G4735,15.78,-0.15,0.81
G4736,24.72,0.353,0.515
G4737,32.32,-0.577,0.25
G4738,1.18,0.551,0.745
G4739,314.02,-0.01,0.974
G4740,51.91,0.15,0.734
G4741,143.69,0.541,0.126
G4742,187.92,0.215,0.523
G4743,48.59,-0.302,0.502
G4744,7.66,0.947,0.235
G4745,13.18,0.659,0.319
G4746,1965.38,-0.207,0.419
G4747,23.63,-0.021,0.969
G4748,8.02,-1.635,0.0373
G4749,18.58,0.886,0.134
G4750,9.1,0.495,0.509
G4751,83.77,-0.342,0.386
G4752,27.41,0.797,0.129
G4753,41.64,-0.125,0.789
G4754,284.97,0.255,0.418
G4755,60.48,-0.28,0.511
G4756,377.97,-0.413,0.172
G4757,3129.87,-0.185,0.457
G4758,119.13,0.865,0.0183
G4759,304.39,-0.183,0.557
G4760,434.2,-0.467,0.116
G4761,1255.51,-0.367,0.166
G4762,3.69,-0.132,0.9
G4763,3.33,0.939,0.392
G4764,52.87,0.766,0.0817
G4765,143.19,-0.043,0.903
G4766,4.11,-1.903,0.0593
G4767,8.99,-0.731,0.332
G4768,130.76,-0.084,0.815
G4769,40.38,-0.206,0.662
G4770,15.58,-0.181,0.772
G4771,44.86,-0.553,0.228
G4772,13.76,-0.454,0.486
G4773,19.93,0.068,0.906
G4774,29.94,-0.986,0.0543
G4775,7.8,-1.515,0.056
G4776,2607.78,0.116,0.644
G4777,25.67,-0.009,0.987
G4778,89.47,0.293,0.452
G4779,231.47,0.018,0.956
G4780,16.21,-0.124,0.841
G4781,15.22,1.925,0.00225
G4782,2.74,-0.182,0.878
G4783,40.76,0.329,0.484
G4784,4.35,0.465,0.638
G4785,100.17,0.387,0.308
G4786,4.36,-0.277,0.779
G4787,1.31,0.609,0.707
G4788,25.47,0.744,0.166
G4789,49.05,-0.19,0.672
G4790,88.6,0.218,0.576
G4791,208.76,0.171,0.605
G4792,4.44,0.506,0.605
G4793,42.35,0.944,0.0427
G4794,12.88,-0.392,0.556
G4795,139.72,0.252,0.478
G4796,12.05,-0.666,0.328
G4797,222.15,0.713,0.0294
G4798,16.57,-0.404,0.51
G4799,36.37,0.142,0.77
G4800,41.37,0.167,0.722
G4801,107.42,-0.247,0.509
G4802,19.85,-0.167,0.773
G4803,122.12,-0.959,0.00857
G4804,802.05,-0.461,0.0955
G4805,1.22,-2.211,0.185
G4806,20.84,-1.05,0.0657
G4807,123.3,-0.17,0.641
G4808,374.01,-0.395,0.192
G4809,47.77,0.19,0.674
G4810,933.91,0.418,0.125
G4811,152.44,0.086,0.806
G4812,130.02,0.201,0.577
G4813,40.32,0.199,0.673
G4814,239.35,-0.415,0.199
G4815,263.95,0.148,0.642
G4816,51.16,0.76,0.0867
G4817,155.37,0.789,0.0235
G4818,134.23,0.327,0.361
G4819,30.61,-0.316,0.535
G4820,162.58,0.446,0.197
G4821,228.36,-0.224,0.492
G4822,12.58,-0.418,0.533
G4823,91.4,-0.101,0.794
G4824,44.99,0.67,0.144
G4825,19.83,-0.834,0.15
G4826,25.55,0.94,0.0798
G4827,15.21,0.19,0.763
G4828,6.77,0.463,0.579
G4829,66.33,1.303,0.00176
G4830,6.57,-0.953,0.259
G4831,10.71,-0.624,0.379
G4832,163.49,-1.468,2.11e-05
G4833,85.97,0.186,0.636
G4834,8.99,-0.602,0.424
G4835,89.92,0.753,0.0527
G4836,50.35,0.201,0.652
G4837,107.5,0.038,0.919
G4838,302.95,-0.028,0.928
G4839,76.67,-0.356,0.377
G4840,285.19,-0.114,0.717
G4841,7.48,-1.411,0.0796
G4842,479.82,0.062,0.832
G4843,42.52,-1.109,0.0172
G4844,380.67,0.222,0.462
G4845,24.74,-0.553,0.307
G4846,31.05,0.917,0.0706
G4847,169.71,-0.003,0.993
G4848,4.1,-0.902,0.372
G4849,8.79,1.258,0.0977
G4850,1767.93,0.361,0.162
G4851,173.32,0.3,0.38
G4852,19.3,0.911,0.119
G4853,88.01,0.725,0.0634
G4854,1618.03,0.274,0.292
G4855,21.57,1.105,0.0503
